customer_id,age,gender,education,marital_status,income_clp,region,registration_date,total_purchases,total_spent_clp,online_purchases,store_purchases,complaints,satisfaction_score,last_purchase_days
C00031,34,Femenino,Universitaria,Casado,517336.0,Araucanía,2019-05-07,14,2454942,9,5,0,,215
C00032,64,Masculino,,Divorciado,1007515.0,Valparaíso,2020-08-27,10,604457,5,8,0,4.0,2
C00033,41,Masculino,Universitaria,Divorciado,1307363.0,Metropolitana,2019-08-04,17,1831206,6,4,2,3.0,121
C00034,29,Femenino,Media,Viudo,1468835.0,Metropolitana,2025-09-25,17,1353562,5,8,1,5.0,103
C00035,51,Masculino,Técnica,Divorciado,954000.0,Valparaíso,2024-04-24,20,681855,6,6,1,5.0,149
C00036,27,femenino,Media,Casado,1218743.0,Biobío,2021-04-26,17,716864,9,7,1,3.0,152
C00037,44,Femenino,Universitaria,Divorciado,391634.0,Araucanía,2018-08-18,18,858900,10,6,-1,4.0,53
C00038,18,Otro,Universitaria,Casado,892355.0,Metropolitana,2018-07-08,22,1308596,6,6,2,2.0,166
C00039,26,Masculino,Media,Casado,1471673.0,Biobío,2023-08-20,21,1018608,8,8,3,4.0,306
C00040,44,Masculino,,Viudo,771274.0,Valparaíso,2025-06-16,16,601612,12,6,3,3.0,167
C00041,50,Femenino,Técnica,Soltero,1232277.0,Araucanía,2019-05-17,19,229379,7,10,2,4.0,316
C00042,44,Masculino,Técnica,Soltero,,Araucanía,2023-11-03,15,1197409,4,8,2,4.0,364
C00043,40,Femenino,Media,Viudo,1028575.0,Metropolitana,2018-02-18,21,250914,6,12,1,5.0,295
C00044,38,Hombre,Técnica,Divorciado,1295673.0,Araucanía,2025-11-25,11,352490,4,12,3,4.0,71
C00045,24,Femenino,Universitaria,Viudo,778093.0,Araucanía,2019-11-20,17,628367,5,8,0,1.0,128
C00046,33,Femenino,Media,Casado,1093459.0,Araucanía,2019-01-22,18,386126,6,10,1,4.0,33
C00047,36,Masculino,Media,Soltero,1579200.0,Araucanía,2020-08-27,23,967900,8,11,1,4.0,157
C00048,54,Masculino,Técnica,Viudo,1287830.0,Valparaíso,2020-10-02,9,669746,6,11,1,,330
C00049,46,Masculino,Universitaria,Divorciado,,Biobío,2024-03-15,17,1281453,10,7,3,5.0,266
C00050,20,Femenino,Universitaria,Viudo,1327395.0,Valparaíso,2022-09-21,12,304899,6,10,0,5.0,204
C00051,45,Femenino,Universitaria,Soltero,1655157.0,Valparaíso,2023-06-28,14,537792,9,5,1,4.0,195
C00052,37,Femenino,Técnica,Viudo,477041.0,Metropolitana,2024-04-21,18,802018,10,15,1,3.0,109
C00053,33,femenino,Técnica,Viudo,2021631.0,Araucanía,2024-04-02,10,820774,6,9,1,1.0,159
C00054,49,Femenino,Media,Soltero,1031492.0,Valparaíso,2022-05-27,16,1213220,7,7,0,5.0,283
C00055,54,Masculino,Universitaria,Casado,1453234.0,Araucanía,2022-11-25,14,462135,7,7,0,5.0,27
C00056,53,Masculino,Universitaria,Casado,2056658.0,Valparaíso,2018-09-28,14,604139,4,8,1,3.0,227
C00057,31,Femenino,Universitaria,Soltero,647308.0,Valparaíso,2018-05-03,19,1084659,3,6,0,4.0,252
C00058,38,Masculino,Universitaria,Viudo,872033.0,Metropolitana,2025-05-27,15,213892,9,8,0,4.0,265
C00059,45,Femenino,Universitaria,Soltero,1053875.0,Biobío,2021-07-04,14,1007848,6,6,0,4.0,262
C00060,53,Masculino,Media,Casado,843354.0,Metropolitana,2021-12-15,18,1265194,3,7,3,5.0,134
C00061,36,Masculino,Universitaria,Divorciado,2619656.0,Valparaíso,2018-09-16,11,359392,7,5,2,2.0,26
C00062,39,Femenino,Media,Viudo,816093.0,Metropolitana,2020-08-05,10,662220,5,8,1,5.0,43
C00063,28,Femenino,Técnica,Casado,934564.0,Araucanía,2023-09-26,20,1959035,6,6,3,3.0,19
C00064,27,Masculino,Media,Viudo,1315604.0,Araucanía,2020-05-12,10,1188572,7,5,4,4.0,16
C00065,51,Masculino,Media,Soltero,,Valparaíso,2019-06-09,16,1046069,8,11,0,4.0,105
C00066,58,Femenino,Técnica,Divorciado,1004274.0,Biobío,2020-06-06,18,1449809,3,11,0,4.0,279
C00067,41,Masculino,Técnica,Soltero,,Metropolitana,2018-07-27,19,2362176,6,3,1,4.0,203
C00068,54,Masculino,Técnica,Divorciado,1033069.0,Biobío,2025-08-26,11,808946,10,4,0,4.0,208
C00069,46,Masculino,Técnica,Viudo,1150616.0,Araucanía,2018-05-29,12,626593,9,11,0,4.0,166
C00070,34,Femenino,Media,Viudo,945654.0,Biobío,2019-03-14,8,1447704,11,6,0,4.0,59
C00071,46,Masculino,Media,Soltero,607022.0,Araucanía,2024-01-12,17,714897,5,9,1,3.0,48
C00072,60,Masculino,Técnica,Divorciado,,Metropolitana,2022-09-18,17,458426,8,3,1,5.0,148
C00073,41,Femenino,Técnica,Divorciado,2643335.0,Metropolitana,2018-12-24,12,578577,2,13,0,2.0,277
C00074,60,Femenino,Universitaria,Viudo,1209978.0,Valparaíso,2021-05-25,11,964885,7,8,3,4.0,178
C00075,18,Masculino,Universitaria,Soltero,1328021.0,Valparaíso,2023-04-15,14,610851,5,8,2,2.0,289
C00076,51,Femenino,,Divorciado,1638935.0,Biobío,2019-04-01,16,638822,3,6,1,4.0,114
C00077,43,Masculino,Universitaria,Viudo,677817.0,Metropolitana,2025-09-24,9,431912,2,11,2,3.0,296
C00078,38,Hombre,Técnica,Casado,2581713.0,Metropolitana,2022-06-21,15,1892836,8,6,0,5.0,218
C00079,43,Femenino,Universitaria,Soltero,1314385.0,Valparaíso,2019-09-21,12,651342,8,5,1,1.0,266
C00080,18,Masculino,Técnica,Casado,2500916.0,Araucanía,2025-11-19,15,522019,8,4,1,3.0,162
C00081,39,Femenino,Técnica,Soltero,862825.0,Biobío,2019-05-01,20,556428,8,4,1,4.0,329
C00082,46,Femenino,,Viudo,2719503.0,Metropolitana,2025-01-24,18,1294820,5,8,1,3.0,36
C00083,59,Femenino,Técnica,Divorciado,1700872.0,Valparaíso,2018-07-19,14,1128371,8,9,1,5.0,75
C00084,35,Masculino,Universitaria,Divorciado,1539087.0,Metropolitana,2019-01-06,15,591995,3,6,4,5.0,135
C00085,32,Femenino,,Divorciado,1333267.0,Valparaíso,2020-10-10,18,815661,7,7,1,4.0,272
C00086,35,Femenino,Universitaria,Soltero,1073027.0,Valparaíso,2023-06-06,15,944479,5,5,1,3.0,179
C00087,52,Masculino,Universitaria,Viudo,2059700.0,Valparaíso,2025-12-10,18,524352,8,4,2,3.0,159
C00088,45,Femenino,Técnica,Casado,1278239.0,Valparaíso,2022-01-11,13,317423,9,8,3,3.0,243
C00089,35,femenino,Técnica,Viudo,495167.0,Araucanía,2018-09-05,27,1089674,5,9,3,3.0,301
C00090,48,Femenino,Técnica,Casado,725849.0,Araucanía,2020-02-27,12,542057,8,7,0,1.0,204
C00091,43,Masculino,,Soltero,1103725.0,Metropolitana,2024-04-30,19,1041920,7,9,0,5.0,283
C00092,53,Femenino,Universitaria,Soltero,1379637.0,Valparaíso,2023-09-10,12,969933,7,4,0,4.0,278
C00093,33,Masculino,Universitaria,Casado,1169828.0,Araucanía,2022-03-02,17,827233,7,12,0,3.0,143
C00094,38,FEMENINO,Universitaria,Casado,2076862.0,Metropolitana,2021-06-26,14,619514,5,7,3,3.0,8
C00095,37,Femenino,Técnica,Casado,498738.0,Valparaíso,2019-08-28,21,546893,7,7,0,4.0,116
C00096,24,Femenino,Media,Viudo,,Biobío,2022-08-17,10,404059,8,10,0,3.0,343
C00097,45,Femenino,Técnica,Casado,529528.0,Araucanía,2021-11-18,25,553223,7,11,0,5.0,272
C00098,45,Femenino,Media,Soltero,1689093.0,Metropolitana,2022-12-26,12,1125407,13,8,1,3.0,176
C00099,42,Femenino,Universitaria,Soltero,1150061.0,Biobío,2019-05-17,12,1850677,7,7,2,5.0,214
C00100,39,Masculino,Técnica,Divorciado,1449394.0,Valparaíso,2019-07-03,22,1694717,9,6,2,4.0,215
C00101,25,Femenino,Media,Casado,813486.0,Valparaíso,2021-09-27,20,872938,10,8,3,5.0,57
C00102,36,Femenino,Media,Viudo,2134176.0,Valparaíso,2020-04-18,9,1850087,7,10,0,1.0,229
C00103,37,Masculino,Universitaria,Viudo,1917644.0,Araucanía,2021-12-01,16,665488,4,4,1,2.0,300
C00104,32,Masculino,Universitaria,Viudo,1560359.0,Metropolitana,2021-12-19,11,368700,6,13,2,4.0,327
C00105,40,Femenino,Técnica,Divorciado,1132059.0,Biobío,2020-04-27,18,2532941,5,7,3,5.0,37
C00106,46,Femenino,Media,Soltero,1557773.0,Metropolitana,2019-09-06,18,1101355,8,8,3,4.0,284
C00107,64,Femenino,Técnica,Viudo,873034.0,Araucanía,2019-02-16,8,318567,11,5,0,4.0,324
C00108,44,Masculino,Técnica,Soltero,1763537.0,Metropolitana,2024-10-15,20,2038645,4,9,1,1.0,224
C00109,45,Masculino,Universitaria,Divorciado,2520829.0,Araucanía,2019-11-09,9,512119,10,12,0,3.0,302
C00110,41,Femenino,Universitaria,Casado,1942734.0,Valparaíso,2018-06-08,20,583522,6,7,3,3.0,201
C00111,18,Masculino,Técnica,Casado,864158.0,Biobío,2023-08-24,16,1476517,11,6,1,4.0,100
C00112,41,Masculino,Media,Casado,1411932.0,Valparaíso,2019-01-08,17,1811002,6,10,1,3.0,282
C00113,42,Masculino,Postgrado,Viudo,670593.0,Metropolitana,2024-03-22,12,438854,11,11,1,3.0,75
C00114,71,Masculino,Técnica,Casado,1552547.0,Valparaíso,2021-01-01,18,1933730,10,5,0,4.0,212
C00115,39,Femenino,Universitaria,Viudo,1469751.0,Biobío,2025-01-02,15,1351747,4,12,0,5.0,191
C00116,45,Femenino,Media,Divorciado,517318.0,Valparaíso,2019-08-26,12,495101,4,10,2,4.0,63
C00117,41,Femenino,Técnica,Divorciado,,Biobío,2018-08-04,12,690259,4,14,4,4.0,112
C00118,27,Femenino,Media,Viudo,1056444.0,Biobío,2023-06-20,20,1986825,3,8,2,5.0,143
C00119,55,Masculino,Técnica,Soltero,1048053.0,Valparaíso,2022-04-14,16,313649,6,13,0,3.0,99
C00120,51,Masculino,Postgrado,Casado,696322.0,Santiago,2023-01-15,17,1831774,10,5,0,1.0,265
C00121,51,Femenino,Técnica,Casado,1429553.0,Metropolitana,2023-05-17,19,1329364,6,8,1,4.0,225
C00122,31,Femenino,Media,Casado,1343777.0,Araucanía,2025-11-27,17,1085825,5,13,3,4.0,75
C00123,58,Femenino,Media,Viudo,,Araucanía,2019-12-28,18,865778,8,12,0,4.0,278
C00124,25,Masculino,Técnica,Divorciado,854033.0,Valparaíso,2021-05-29,14,2608927,4,6,3,3.0,198
C00125,49,Femenino,Media,Casado,1923679.0,Metropolitana,2025-02-14,19,2850831,8,8,1,4.0,184
C00126,68,Femenino,Media,Divorciado,2527560.0,Metropolitana,2020-12-01,15,553064,7,8,2,4.0,293
C00127,30,Femenino,Universitaria,Casado,965334.0,Araucanía,2019-11-07,21,1155091,3,11,0,3.0,57
C00128,35,Femenino,Técnica,Casado,911053.0,Valparaíso,2025-12-30,15,2463251,5,11,0,4.0,249
C00129,43,Otro,Técnica,Viudo,1496853.0,Metropolitana,2018-10-10,13,499488,11,8,1,3.0,114
C00130,35,Masculino,Universitaria,Soltero,1021434.0,Araucanía,2020-12-17,12,925649,9,8,0,5.0,140
C00131,23,Femenino,Media,Viudo,1127037.0,Metropolitana,2025-11-21,13,1461088,10,5,1,5.0,359
C00132,42,Masculino,Postgrado,Casado,1673915.0,Valparaíso,2025-01-28,17,238811,4,9,0,5.0,41
C00133,29,Masculino,Técnica,Casado,508195.0,Valparaíso,2023-03-24,15,1315201,4,11,3,5.0,153
C00134,47,Masculino,Universitaria,Soltero,2171802.0,Valparaíso,2021-02-26,21,416360,6,8,0,3.0,232
C00135,30,Femenino,Universitaria,Divorciado,1239896.0,Metropolitana,2025-11-29,14,897856,4,6,0,5.0,105
C00136,60,Femenino,Universitaria,Divorciado,997153.0,Biobío,2020-08-05,23,1589569,6,7,0,4.0,106
C00137,150,Femenino,Postgrado,Casado,1152768.0,Metropolitana,2019-10-27,15,190776,7,7,1,4.0,300
C00138,38,Masculino,Técnica,Divorciado,1179882.0,Biobío,2022-09-14,12,1281936,6,7,4,3.0,130
C00139,51,Femenino,Postgrado,Casado,550615.0,Valparaíso,2021-02-22,11,2717884,8,5,0,5.0,161
C00140,27,Femenino,Técnica,Soltero,2351477.0,Araucanía,2018-03-08,16,580930,10,8,1,2.0,257
C00141,44,Femenino,Técnica,Soltero,1222524.0,Biobío,2023-08-16,17,1130738,6,9,5,3.0,229
C00142,57,M,Técnica,Casado,1464732.0,Valparaíso,2019-09-29,17,-30000,4,6,0,5.0,350
C00143,22,Femenino,Técnica,Soltero,1841386.0,Valparaíso,2018-11-10,14,307613,7,7,1,4.0,182
C00144,44,Masculino,Media,Viudo,757901.0,Biobío,2019-07-19,13,1260209,4,7,2,4.0,14
C00145,45,Masculino,Técnica,Viudo,1484954.0,Araucanía,2022-05-21,17,1478630,6,12,0,4.0,100
C00146,51,Femenino,Técnica,Soltero,1063837.0,Valparaíso,2020-04-05,12,1173544,5,7,2,3.0,225
C00147,27,Masculino,Universitaria,Casado,1756579.0,Biobío,2024-12-28,13,842678,10,7,2,4.0,358
C00148,26,Femenino,Universitaria,Casado,460735.0,Araucanía,10/01/2021,14,438940,8,8,2,1.0,231
C00149,48,Masculino,Técnica,Soltero,1147664.0,Araucanía,2020-10-22,23,1843582,10,11,1,5.0,53
C00150,45,Femenino,Técnica,Divorciado,914893.0,Valparaíso,2024-03-01,14,816734,5,6,3,4.0,6
C00151,45,Masculino,Técnica,Viudo,1457670.0,Metropolitana,2019-10-24,12,465114,5,12,1,5.0,90
C00152,46,Masculino,Media,Divorciado,1482665.0,Metropolitana,2020-03-15,17,661028,6,11,1,4.0,64
C00153,33,Masculino,Media,Casado,872746.0,Valparaíso,2024-09-17,16,997889,7,8,1,4.0,88
C00154,44,Masculino,Técnica,Casado,870962.0,Araucanía,2019-06-20,9,313531,7,11,0,4.0,33
C00155,45,Femenino,Técnica,Divorciado,1141704.0,Valparaíso,2021-10-23,12,808653,6,10,1,3.0,72
C00156,33,Masculino,Postgrado,Soltero,801582.0,Biobío,2021-05-20,14,622961,5,11,0,3.0,44
C00157,64,Masculino,,Divorciado,1752799.0,Metropolitana,2025-03-09,14,1783312,4,5,1,5.0,253
C00158,47,Masculino,Técnica,Divorciado,1016309.0,Biobío,2025-09-11,14,259739,8,6,0,3.0,107
C00159,27,Femenino,Técnica,Viudo,324385.0,Valparaíso,2023-04-05,15,1405103,9,8,0,4.0,290
C00160,49,Masculino,,Viudo,1013745.0,Valparaíso,2023-12-05,8,1872198,8,5,0,1.0,2
C00161,30,Masculino,Técnica,Divorciado,751996.0,Araucanía,2019-09-20,16,265697,5,5,1,2.0,136
C00162,51,Masculino,Universitaria,Divorciado,575939.0,Araucanía,2020-01-19,19,285517,4,3,1,4.0,117
C00163,55,Femenino,Técnica,Casado,687618.0,Araucanía,2018-04-15,19,2335898,5,7,1,5.0,121
C00164,32,Masculino,Técnica,Viudo,1260559.0,Biobío,2024-12-17,14,464977,7,12,1,4.0,288
C00165,53,Femenino,Postgrado,Viudo,2181930.0,Araucanía,2018-02-15,12,5123070,4,9,0,3.0,312
C00166,46,FEMENINO,,Casado,1381617.0,Valparaíso,2025-11-10,20,270726,10,3,0,2.0,94
C00167,51,Femenino,Universitaria,Soltero,913378.0,Metropolitana,2021-09-16,19,885931,9,8,0,5.0,7
C00168,64,Masculino,Técnica,Viudo,1473261.0,Metropolitana,2021-05-24,16,788849,8,11,0,4.0,88
C00169,39,Otro,Universitaria,Viudo,976023.0,Araucanía,2020-09-08,20,706055,9,7,1,5.0,182
C00170,32,Femenino,Media,Soltero,877877.0,Biobío,2020-08-17,12,1056153,9,8,2,2.0,191
C00171,31,Masculino,Técnica,Viudo,713807.0,Metropolitana,2022-02-24,18,1093347,6,12,1,5.0,208
C00172,32,Femenino,Media,Viudo,545527.0,Metropolitana,2023-01-11,15,723439,11,8,1,5.0,291
C00173,41,Masculino,,Soltero,1006879.0,Metropolitana,2025-12-02,14,435331,7,13,2,5.0,354
C00174,46,Masculino,Técnica,Soltero,1288457.0,Biobío,2024-11-01,17,1500071,9,9,0,1.0,278
C00175,45,Masculino,Media,Divorciado,1148941.0,Valparaíso,2025-01-27,14,1166127,8,3,1,4.0,315
C00176,51,Masculino,Postgrado,Casado,995148.0,Araucanía,2025-01-02,12,856934,6,5,0,,52
C00177,42,Masculino,Universitaria,Casado,784064.0,Metropolitana,2022-01-21,18,1144167,9,4,1,4.0,267
C00178,59,Femenino,Universitaria,Soltero,,Metropolitana,2022-04-09,16,1268990,9,10,1,4.0,244
C00179,38,Femenino,Técnica,Soltero,663392.0,Metropolitana,2025-01-31,13,506524,4,7,4,4.0,182
C00180,74,Masculino,Universitaria,Viudo,1701540.0,Valparaíso,2022-02-16,14,1119928,11,11,1,5.0,211
C00181,49,Masculino,Media,Divorciado,764390.0,Valparaíso,2023-08-26,19,574092,5,12,0,4.0,198
C00182,31,Masculino,Universitaria,Divorciado,855324.0,Biobío,2023-06-24,12,1294437,7,8,0,4.0,270
C00183,29,Masculino,Media,Soltero,620188.0,Valparaíso,2024-04-09,13,712779,4,7,0,4.0,33
C00184,47,Femenino,Universitaria,Viudo,957615.0,Araucanía,2023-05-28,14,1154754,4,6,1,4.0,102
C00185,39,Masculino,Técnica,Viudo,1861182.0,Biobío,2020-06-30,10,616670,9,8,0,3.0,333
C00186,50,Femenino,Universitaria,Casado,1513393.0,Biobío,2021-07-18,10,1191339,4,7,2,3.0,282
C00187,47,Masculino,Universitaria,Casado,1863788.0,Region Metropolitana,05-11-2022,12,444677,8,7,1,4.0,237
C00188,41,FEMENINO,Media,Viudo,1517836.0,Araucanía,2022-12-08,16,817550,5,10,0,2.0,216
C00189,31,Femenino,Técnica,Casado,730278.0,Araucanía,2025-07-15,19,1440853,5,11,1,4.0,321
C00190,23,Femenino,Postgrado,Soltero,1034032.0,Biobío,2022-10-20,16,1058845,10,6,1,5.0,302
C00191,36,Femenino,Técnica,Viudo,844704.0,Biobío,2018-04-25,15,897693,6,6,2,4.0,127
C00192,52,Masculino,Universitaria,Casado,2183830.0,Biobío,2022-05-23,10,2360782,10,8,0,5.0,94
C00193,44,FEMENINO,Técnica,Divorciado,700309.0,Araucanía,2021-08-15,17,1478515,7,3,2,4.0,74
C00194,27,Femenino,Técnica,Viudo,1794067.0,Araucanía,04/02/2023,21,1336668,9,11,1,3.0,128
C00195,44,Femenino,Técnica,Viudo,1793467.0,Metropolitana,2024-09-10,10,1187289,6,9,0,3.0,74
C00196,46,Femenino,Media,Divorciado,,Valparaíso,2024-09-07,19,1279506,6,6,1,5.0,256
C00197,31,Femenino,Universitaria,Soltero,997964.0,Metropolitana,2021-01-03,20,2162181,9,6,1,5.0,102
C00198,43,Femenino,,Divorciado,1653454.0,Araucanía,2020-09-04,18,622666,8,10,2,4.0,47
C00199,5,Masculino,Técnica,Viudo,,Biobío,2022-02-14,15,1465943,4,4,1,3.0,165
C00200,28,Masculino,Técnica,Soltero,908811.0,Araucanía,2021-01-31,11,990791,8,10,0,3.0,256
C00201,46,Masculino,Técnica,Casado,601429.0,Valparaíso,2018-10-24,21,635709,6,4,2,4.0,283
C00202,48,Femenino,Universitaria,Casado,514951.0,Metropolitana,2024-02-04,16,753535,8,9,2,4.0,248
C00203,54,Femenino,Postgrado,Casado,1653744.0,Metropolitana,2024-06-20,16,912423,5,9,1,4.0,204
C00204,54,Masculino,Técnica,Viudo,514224.0,Biobío,2020-11-28,16,477539,7,4,3,5.0,86
C00205,25,Femenino,Universitaria,Divorciado,1014887.0,Metropolitana,2018-09-16,12,1343481,4,5,2,4.0,324
C00206,30,Femenino,Universitaria,Soltero,1460987.0,Metropolitana,17/08/2023,19,752123,7,10,0,3.0,164
C00207,48,Femenino,Técnica,Casado,1304279.0,Araucanía,2023-09-28,16,841822,3,9,1,3.0,57
C00208,48,Femenino,Postgrado,Soltero,1453205.0,Metropolitana,2024-01-18,10,1806114,9,6,1,5.0,206
C00209,48,Femenino,Media,Viudo,1326245.0,Metropolitana,2023-03-08,13,864767,9,10,3,4.0,148
C00210,85,Femenino,Media,Casado,2133601.0,Metropolitana,2018-06-25,10,2030856,5,5,3,3.0,301
C00211,48,Masculino,,Viudo,781749.0,Biobío,2020-09-27,16,583896,8,9,1,3.0,279
C00212,55,Masculino,Técnica,Divorciado,884859.0,Biobío,2023-04-03,12,414208,12,10,1,4.0,290
C00213,53,Masculino,Universitaria,Viudo,0.0,Araucanía,2024-11-07,20,672240,4,5,0,3.0,21
C00214,49,Masculino,Universitaria,Viudo,,Metropolitana,2022-07-26,14,147788,9,8,2,4.0,137
C00215,38,Masculino,Media,Divorciado,1799485.0,Biobío,2018-10-03,10,1377559,11,9,0,4.0,10
C00216,51,Masculino,Universitaria,Soltero,1470162.0,Biobío,2024-12-20,17,428920,10,9,1,2.0,308
C00217,32,Masculino,Técnica,Divorciado,2043969.0,Araucanía,2019-11-07,11,552246,7,3,1,4.0,45
C00218,39,Femenino,Técnica,Divorciado,,Valparaíso,2022-12-29,9,1229519,7,8,0,2.0,249
C00219,36,Femenino,Universitaria,Viudo,2541037.0,Metropolitana,2020-11-17,16,859271,11,6,4,3.0,30
C00220,42,Femenino,Universitaria,Soltero,2381615.0,Biobío,2021-09-18,15,614177,6,16,3,3.0,225
C00221,69,Masculino,Media,Casado,1670881.0,Araucanía,2023-10-05,19,235729,16,7,1,4.0,177
C00222,19,Masculino,Técnica,Divorciado,2675486.0,Araucanía,2019-07-01,11,1746024,9,6,1,4.0,96
C00223,50,Femenino,Universitaria,Soltero,569407.0,Araucanía,2021-02-09,19,1234547,5,9,1,3.0,17
C00224,22,Masculino,Universitaria,Divorciado,947735.0,Biobío,2023-09-15,7,2746395,3,6,1,5.0,28
C00225,36,Femenino,,Divorciado,861943.0,Metropolitana,2023-08-03,22,559354,10,6,1,1.0,126
C00226,55,Masculino,Media,Divorciado,1660281.0,Valparaíso,2019-03-15,22,334267,9,14,1,4.0,301
C00227,42,Femenino,Técnica,Divorciado,748082.0,Metropolitana,2022-10-19,18,1453115,9,9,2,4.0,273
C00228,29,Femenino,Técnica,Viudo,1687409.0,Araucanía,2022-06-04,7,714637,3,19,2,4.0,187
C00229,33,Femenino,Universitaria,Soltero,2223456.0,Araucanía,2023-01-24,12,1166209,7,9,0,3.0,142
C00230,50,Femenino,Técnica,Soltero,1640765.0,Valparaíso,2025-03-27,14,2114473,14,13,1,1.0,138
C00231,33,Femenino,Media,Soltero,1363438.0,Metropolitana,2022-05-20,22,1009795,5,7,1,4.0,337
C00232,44,Femenino,Postgrado,Divorciado,769340.0,Araucanía,2022-07-22,14,884472,3,10,1,2.0,229
C00233,42,Masculino,Media,Viudo,819745.0,Araucanía,2018-11-03,17,918381,6,7,0,5.0,214
C00234,34,Masculino,Postgrado,Divorciado,2105704.0,Metropolitana,2019-09-11,16,299544,3,14,0,3.0,274
C00235,67,Femenino,Universitaria,Divorciado,1704085.0,Araucanía,2021-02-06,15,1555316,11,8,1,4.0,291
C00236,49,Masculino,Universitaria,Soltero,1179113.0,Metropolitana,2021-10-27,19,1616249,5,2,0,4.0,58
C00237,18,Masculino,Técnica,Divorciado,,Araucanía,2024-08-01,15,1099877,7,10,2,4.0,18
C00238,44,Femenino,Media,Casado,482250.0,Metropolitana,2024-02-07,20,322263,5,10,0,4.0,180
C00239,34,Femenino,Universitaria,Divorciado,741142.0,Valparaíso,2021-10-11,14,743911,8,3,0,4.0,158
C00240,52,Femenino,Universitaria,Casado,2836185.0,Region Metropolitana,2022-08-27,16,1896427,5,12,0,1.0,256
C00241,32,Femenino,Universitaria,Divorciado,674432.0,Valparaíso,2023-10-17,15,569728,9,10,3,4.0,37
C00242,40,Masculino,Media,Viudo,1306807.0,Araucanía,2024-05-28,13,1628091,7,7,0,2.0,296
C00243,48,Femenino,,Viudo,1888289.0,Araucanía,2025-07-02,12,826888,6,11,0,4.0,262
